date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:19:04	40735/40735	---MCZ	200	added ('OK')	text/html	date:Mon,%2021%20Nov%202022%2006:49:04%20GMT	https://multim-html.vercel.app/restrurant/index.html	C:/My%20Web%20Sites/restaurant/multim-html.vercel.app/restrurant/index.html	(from )
12:19:05	1444/1444	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2021%20Nov%202022%2006:49:05%20GMT	https://multim-html.vercel.app/robots.txt		(from )
12:19:05	71841/71841	---MCZ	200	added ('OK')	text/css	date:Mon,%2021%20Nov%202022%2006:49:05%20GMT	https://multim-html.vercel.app/assets/css/plugins/fontawesome.min.css	C:/My%20Web%20Sites/restaurant/multim-html.vercel.app/assets/css/plugins/fontawesome.min.css	(from https://multim-html.vercel.app/restrurant/index.html)
12:19:05	155631/155631	---MCZ	200	added ('OK')	text/css	date:Mon,%2021%20Nov%202022%2006:49:05%20GMT	https://multim-html.vercel.app/assets/css/plugins/bootstrap.min.css	C:/My%20Web%20Sites/restaurant/multim-html.vercel.app/assets/css/plugins/bootstrap.min.css	(from https://multim-html.vercel.app/restrurant/index.html)
12:19:05	24240/24240	---MCZ	200	added ('OK')	text/css	date:Mon,%2021%20Nov%202022%2006:49:05%20GMT	https://multim-html.vercel.app/assets/css/plugins/lightgallery.min.css	C:/My%20Web%20Sites/restaurant/multim-html.vercel.app/assets/css/plugins/lightgallery.min.css	(from https://multim-html.vercel.app/restrurant/index.html)
12:19:05	1652/1652	---MCZ	200	added ('OK')	text/css	date:Mon,%2021%20Nov%202022%2006:49:05%20GMT	https://multim-html.vercel.app/assets/css/plugins/slick.css	C:/My%20Web%20Sites/restaurant/multim-html.vercel.app/assets/css/plugins/slick.css	(from https://multim-html.vercel.app/restrurant/index.html)
12:19:06	14966/14966	---MCZ	200	added ('OK')	text/css	date:Mon,%2021%20Nov%202022%2006:49:06%20GMT	https://multim-html.vercel.app/assets/css/plugins/select2.min.css	C:/My%20Web%20Sites/restaurant/multim-html.vercel.app/assets/css/plugins/select2.min.css	(from https://multim-html.vercel.app/restrurant/index.html)
12:19:06	77773/77773	---MCZ	200	added ('OK')	text/css	date:Mon,%2021%20Nov%202022%2006:49:06%20GMT	https://multim-html.vercel.app/assets/css/plugins/animate.css	C:/My%20Web%20Sites/restaurant/multim-html.vercel.app/assets/css/plugins/animate.css	(from https://multim-html.vercel.app/restrurant/index.html)
12:19:06	405738/405738	---MCZ	200	added ('OK')	text/css	date:Mon,%2021%20Nov%202022%2006:49:06%20GMT	https://multim-html.vercel.app/assets/css/style.css	C:/My%20Web%20Sites/restaurant/multim-html.vercel.app/assets/css/style.css	(from https://multim-html.vercel.app/restrurant/index.html)
12:19:06	16654/16654	---MCZ	200	added ('OK')	text/css	date:Mon,%2021%20Nov%202022%2006:49:06%20GMT	https://multim-html.vercel.app/assets/css/theme_10.css	C:/My%20Web%20Sites/restaurant/multim-html.vercel.app/assets/css/theme_10.css	(from https://multim-html.vercel.app/restrurant/index.html)
12:19:07	29032/29032	---MCZ	200	added ('OK')	text/html	date:Mon,%2021%20Nov%202022%2006:49:07%20GMT	https://multim-html.vercel.app/restrurant/about.html	C:/My%20Web%20Sites/restaurant/multim-html.vercel.app/restrurant/about.html	(from https://multim-html.vercel.app/restrurant/index.html)
12:19:07	22218/22218	---MCZ	200	added ('OK')	text/html	date:Mon,%2021%20Nov%202022%2006:49:07%20GMT	https://multim-html.vercel.app/restrurant/menu-list.html	C:/My%20Web%20Sites/restaurant/multim-html.vercel.app/restrurant/menu-list.html	(from https://multim-html.vercel.app/restrurant/index.html)
12:19:07	17396/17396	---MCZ	200	added ('OK')	text/html	date:Mon,%2021%20Nov%202022%2006:49:07%20GMT	https://multim-html.vercel.app/restrurant/menu-details.html	C:/My%20Web%20Sites/restaurant/multim-html.vercel.app/restrurant/menu-details.html	(from https://multim-html.vercel.app/restrurant/index.html)
12:19:07	21893/21893	---MCZ	200	added ('OK')	text/html	date:Mon,%2021%20Nov%202022%2006:49:07%20GMT	https://multim-html.vercel.app/restrurant/cheps.html	C:/My%20Web%20Sites/restaurant/multim-html.vercel.app/restrurant/cheps.html	(from https://multim-html.vercel.app/restrurant/index.html)
12:19:07	16889/16889	---MCZ	200	added ('OK')	text/html	date:Mon,%2021%20Nov%202022%2006:49:07%20GMT	https://multim-html.vercel.app/restrurant/contact.html	C:/My%20Web%20Sites/restaurant/multim-html.vercel.app/restrurant/contact.html	(from https://multim-html.vercel.app/restrurant/index.html)
12:19:08	17074/17074	---MCZ	200	added ('OK')	text/html	date:Mon,%2021%20Nov%202022%2006:49:08%20GMT	https://multim-html.vercel.app/restrurant/gallery.html	C:/My%20Web%20Sites/restaurant/multim-html.vercel.app/restrurant/gallery.html	(from https://multim-html.vercel.app/restrurant/index.html)
12:19:08	18984/18984	---MCZ	200	added ('OK')	text/html	date:Mon,%2021%20Nov%202022%2006:49:08%20GMT	https://multim-html.vercel.app/restrurant/checkout.html	C:/My%20Web%20Sites/restaurant/multim-html.vercel.app/restrurant/checkout.html	(from https://multim-html.vercel.app/restrurant/index.html)
12:19:08	17055/17055	---MCZ	200	added ('OK')	text/html	date:Mon,%2021%20Nov%202022%2006:49:08%20GMT	https://multim-html.vercel.app/restrurant/my-cart.html	C:/My%20Web%20Sites/restaurant/multim-html.vercel.app/restrurant/my-cart.html	(from https://multim-html.vercel.app/restrurant/index.html)
12:19:08	11536/11536	---MCZ	200	added ('OK')	text/html	date:Mon,%2021%20Nov%202022%2006:49:08%20GMT	https://multim-html.vercel.app/restrurant/empty-cart.html	C:/My%20Web%20Sites/restaurant/multim-html.vercel.app/restrurant/empty-cart.html	(from https://multim-html.vercel.app/restrurant/index.html)
12:19:09	14169/14169	---MCZ	200	added ('OK')	text/html	date:Mon,%2021%20Nov%202022%2006:49:09%20GMT	https://multim-html.vercel.app/restrurant/wish-list.html	C:/My%20Web%20Sites/restaurant/multim-html.vercel.app/restrurant/wish-list.html	(from https://multim-html.vercel.app/restrurant/index.html)
12:19:09	3966/3966	---MCZ	200	added ('OK')	text/html	date:Mon,%2021%20Nov%202022%2006:49:09%20GMT	https://multim-html.vercel.app/restrurant/coming-soon.html	C:/My%20Web%20Sites/restaurant/multim-html.vercel.app/restrurant/coming-soon.html	(from https://multim-html.vercel.app/restrurant/index.html)
12:19:09	1448/1448	---MCZ	200	added ('OK')	text/html	date:Mon,%2021%20Nov%202022%2006:49:09%20GMT	https://multim-html.vercel.app/restrurant/404.html	C:/My%20Web%20Sites/restaurant/multim-html.vercel.app/restrurant/404.html	(from https://multim-html.vercel.app/restrurant/index.html)
12:19:09	12876/12876	---MCZ	200	added ('OK')	text/html	date:Mon,%2021%20Nov%202022%2006:49:09%20GMT	https://multim-html.vercel.app/restrurant/signin.html	C:/My%20Web%20Sites/restaurant/multim-html.vercel.app/restrurant/signin.html	(from https://multim-html.vercel.app/restrurant/index.html)
12:19:09	12732/12732	---MCZ	200	added ('OK')	text/html	date:Mon,%2021%20Nov%202022%2006:49:09%20GMT	https://multim-html.vercel.app/restrurant/signup.html	C:/My%20Web%20Sites/restaurant/multim-html.vercel.app/restrurant/signup.html	(from https://multim-html.vercel.app/restrurant/index.html)
12:19:10	85082/85082	---M--	200	added ('OK')	image/png	date:Mon,%2021%20Nov%202022%2006:49:10%20GMT	https://multim-html.vercel.app/assets/img/restaurent/hero/hero-img1.png	C:/My%20Web%20Sites/restaurant/multim-html.vercel.app/assets/img/restaurent/hero/hero-img1.png	(from https://multim-html.vercel.app/restrurant/index.html)
12:19:11	4421/4421	---M--	200	added ('OK')	image/png	date:Mon,%2021%20Nov%202022%2006:49:10%20GMT	https://multim-html.vercel.app/assets/img/restaurent/hero/hero-img2.png	C:/My%20Web%20Sites/restaurant/multim-html.vercel.app/assets/img/restaurent/hero/hero-img2.png	(from https://multim-html.vercel.app/restrurant/index.html)
12:19:11	848180/848180	---M--	200	added ('OK')	image/png	date:Mon,%2021%20Nov%202022%2006:49:10%20GMT	https://multim-html.vercel.app/assets/img/restaurent/hero/hero-img.png	C:/My%20Web%20Sites/restaurant/multim-html.vercel.app/assets/img/restaurent/hero/hero-img.png	(from https://multim-html.vercel.app/restrurant/index.html)
12:19:11	16257/16257	---M--	200	added ('OK')	image/png	date:Mon,%2021%20Nov%202022%2006:49:11%20GMT	https://multim-html.vercel.app/assets/img/restaurent/hero/hero-img3.png	C:/My%20Web%20Sites/restaurant/multim-html.vercel.app/assets/img/restaurent/hero/hero-img3.png	(from https://multim-html.vercel.app/restrurant/index.html)
12:19:12	4888/4888	---M--	200	added ('OK')	image/png	date:Mon,%2021%20Nov%202022%2006:49:12%20GMT	https://multim-html.vercel.app/assets/img/restaurent/hero/hero-img4.png	C:/My%20Web%20Sites/restaurant/multim-html.vercel.app/assets/img/restaurent/hero/hero-img4.png	(from https://multim-html.vercel.app/restrurant/index.html)
12:19:12	8989/8989	---M--	200	added ('OK')	image/png	date:Mon,%2021%20Nov%202022%2006:49:12%20GMT	https://multim-html.vercel.app/assets/img/restaurent/hero/hero-img5.png	C:/My%20Web%20Sites/restaurant/multim-html.vercel.app/assets/img/restaurent/hero/hero-img5.png	(from https://multim-html.vercel.app/restrurant/index.html)
12:19:12	44213/44213	---M--	200	added ('OK')	image/png	date:Mon,%2021%20Nov%202022%2006:49:12%20GMT	https://multim-html.vercel.app/assets/img/restaurent/hero/hero-img6.png	C:/My%20Web%20Sites/restaurant/multim-html.vercel.app/assets/img/restaurent/hero/hero-img6.png	(from https://multim-html.vercel.app/restrurant/index.html)
12:19:12	2333/2333	---M--	200	added ('OK')	image/png	date:Mon,%2021%20Nov%202022%2006:49:12%20GMT	https://multim-html.vercel.app/assets/img/restaurent/hero/hero-img7.png	C:/My%20Web%20Sites/restaurant/multim-html.vercel.app/assets/img/restaurent/hero/hero-img7.png	(from https://multim-html.vercel.app/restrurant/index.html)
12:19:12	33674/33674	---M--	200	added ('OK')	image/png	date:Mon,%2021%20Nov%202022%2006:49:12%20GMT	https://multim-html.vercel.app/assets/img/restaurent/hero/hero-img8.png	C:/My%20Web%20Sites/restaurant/multim-html.vercel.app/assets/img/restaurent/hero/hero-img8.png	(from https://multim-html.vercel.app/restrurant/index.html)
12:19:13	12954/12954	---M--	200	added ('OK')	image/png	date:Mon,%2021%20Nov%202022%2006:49:13%20GMT	https://multim-html.vercel.app/assets/img/restaurent/hero/hero-img9.png	C:/My%20Web%20Sites/restaurant/multim-html.vercel.app/assets/img/restaurent/hero/hero-img9.png	(from https://multim-html.vercel.app/restrurant/index.html)
12:19:13	5839/5839	---M--	200	added ('OK')	image/png	date:Mon,%2021%20Nov%202022%2006:49:13%20GMT	https://multim-html.vercel.app/assets/img/restaurent/hero/hero-img10.png	C:/My%20Web%20Sites/restaurant/multim-html.vercel.app/assets/img/restaurent/hero/hero-img10.png	(from https://multim-html.vercel.app/restrurant/index.html)
12:19:13	83717/83717	---M--	200	added ('OK')	image/png	date:Mon,%2021%20Nov%202022%2006:49:13%20GMT	https://multim-html.vercel.app/assets/img/restaurent/image-box1.png	C:/My%20Web%20Sites/restaurant/multim-html.vercel.app/assets/img/restaurent/image-box1.png	(from https://multim-html.vercel.app/restrurant/index.html)
